Number,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,Critical Cases,Tot Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop,Population
1,USA,"3,893,949","60,678","143,263",386,"1,802,110","1,948,576","16,616","11,761",433,"48,324,182","145,951","331,097,557"
2,Brazil,"2,098,389","23,143","79,488",671,"1,371,229","647,672","8,318","9,869",374,"4,911,063","23,096","212,632,374"
3,India,"1,118,107","40,243","27,503",675,"700,399","390,205","8,944",810,20,"13,791,869","9,989","1,380,641,231"
4,Russia,"771,546","6,109","12,342",95,"550,344","208,860","2,300","5,287",85,"24,991,740","171,249","145,937,686"
5,South Africa,"364,328","13,449","5,033",85,"191,059","168,236",539,"6,139",85,"2,471,747","41,652","59,342,751"
6,Peru,"353,590","4,090","13,187",189,"241,955","98,448","1,293","10,717",400,"2,063,240","62,537","32,992,469"
7,Mexico,"338,913","7,615","38,888",578,"213,006","87,019",378,"2,627",301,"814,653","6,315","128,995,882"
8,Chile,"330,930","2,084","8,503",58,"301,794","20,633","1,764","17,304",445,"1,404,047","73,418","19,124,005"
9,Spain,"307,335",,"28,420",,"150,000","81,957",617,"6,573",608,"6,026,446","128,892","46,755,711"
10,UK,"294,792",726,"45,300",27,344,"249,148",142,"4,341",667,"13,293,523","195,771","67,903,554"
11,Iran,"273,788","2,182","14,188",209,"237,788","21,812","3,556","3,258",169,"2,148,999","25,571","84,041,815"
12,Pakistan,"263,496","1,580","5,568",46,"204,276","53,652","1,763","1,192",25,"1,721,660","7,788","221,072,824"
13,Saudi Arabia,"250,920","2,504","2,486",39,"197,735","50,699","2,180","7,203",71,"2,670,926","76,668","34,837,754"
14,Italy,"244,434",218,"35,045",3,"196,949","12,440",49,"4,043",580,"6,238,049","103,181","60,457,165"
15,Turkey,"219,641",924,"5,491",16,"202,010","12,140","1,246","2,603",65,"4,273,377","50,644","84,381,245"
16,Bangladesh,"204,525","2,459","2,618",37,"111,642","90,265",1,"1,241",16,"1,028,299","6,241","164,766,291"
17,Germany,"202,845",273,"9,163",1,"187,800","5,882",249,"2,421",109,"6,884,614","82,158","83,797,389"
18,Colombia,"197,278","6,578","6,736",220,"91,793","98,749","1,040","3,875",132,"1,210,063","23,770","50,908,124"
19,France,"174,674",,"30,152",,"79,233","65,289",477,"2,676",462,"2,618,722","40,115","65,280,829"
20,Argentina,"126,755","4,231","2,260",40,"54,105","70,390",752,"2,803",50,"541,238","11,970","45,215,376"
21,Canada,"110,338",339,"8,852",4,"97,026","4,460","2,177","2,922",234,"3,520,466","93,238","37,757,861"
22,Qatar,"106,648",340,157,3,"103,377","3,114",128,"37,983",56,"441,700","157,311","2,807,805"
23,Iraq,"92,530","2,310","3,781",90,"60,528","28,221",397,"2,298",94,"793,024","19,698","40,259,056"
24,Egypt,"87,775",603,"4,302",51,"28,380","55,093",41,857,42,"135,000","1,318","102,416,176"
25,Indonesia,"86,521","1,639","4,143",127,"45,401","36,977",,316,15,"1,221,518","4,464","273,658,307"
26,China,"83,660",16,"4,634",,"78,775",251,3,58,3,"90,410,000","62,814","1,439,323,776"
27,Sweden,"77,281",,"5,619",,"8,297","63,365",56,"7,650",556,"681,820","67,491","10,102,333"
28,Ecuador,"74,013",631,"5,313",31,"31,901","36,799",342,"4,192",301,"204,162","11,564","17,654,908"
29,Kazakhstan,"70,339","1,636",375,,"43,029","26,935",221,"3,744",20,"1,777,280","94,602","18,787,010"
30,Philippines,"67,456","2,241","1,831",58,"22,465","43,160",351,615,17,"1,142,165","10,417","109,646,997"
31,Oman,"66,661","1,157",318,10,"44,004","22,339",165,"13,041",62,"270,788","52,974","5,111,683"
32,Belarus,"66,095",142,499,4,"58,204","7,392",89,"6,995",53,"1,193,162","126,272","9,449,162"
33,Belgium,"63,706",207,"9,800",,"17,289","36,617",28,"5,496",845,"1,444,885","124,644","11,592,126"
34,Kuwait,"59,204",300,408,1,"49,687","9,109",132,"13,854",95,"459,349","107,491","4,273,378"
35,Ukraine,"58,842",731,"1,485",8,"30,879","26,478",93,"1,346",34,"877,262","20,066","43,719,426"
36,Bolivia,"58,138","2,036","2,106",57,"18,200","37,832",71,"4,977",180,"126,510","10,831","11,680,191"
37,UAE,"56,922",211,339,1,"49,269","7,314",1,"5,752",34,"4,508,205","455,564","9,895,877"
38,Dominican Republic,"52,855","1,336",981,10,"25,094","26,780",245,"4,870",90,"213,085","19,634","10,853,005"
39,Panama,"52,261",,"1,071",,"27,494","23,696",173,"12,104",248,"183,261","42,444","4,317,753"
40,Netherlands,"51,725",144,"6,136",,250,"45,339",17,"3,018",358,"764,079","44,587","17,136,793"
41,Israel,"50,289",924,409,8,"21,675","28,205",252,"5,468",44,"1,457,203","158,433","9,197,590"
42,Portugal,"48,636",246,"1,689",5,"33,369","13,578",61,"4,771",166,"1,413,519","138,646","10,195,130"
43,Singapore,"47,912",257,27,,"44,086","3,799",,"8,187",5,"1,009,532","172,494","5,852,547"
44,Poland,"40,104",358,"1,624",6,"30,292","8,188",67,"1,060",43,"1,936,889","51,180","37,844,445"
45,Guatemala,"38,667",625,"1,485",36,"23,365","13,817",5,"2,157",83,"64,590","3,602","17,929,670"
46,Romania,"37,458",767,"2,026",17,"22,617","12,815",286,"1,948",105,"958,622","49,849","19,230,649"
47,Nigeria,"36,663",556,789,11,"15,105","20,769",7,178,4,"212,201","1,028","206,340,267"
48,Bahrain,"36,422",418,126,2,"32,372","3,924",46,"21,380",74,"726,140","426,243","1,703,581"
49,Afghanistan,"35,475",174,"1,181",17,"23,634","10,660",31,910,30,"83,771","2,150","38,963,823"
50,Armenia,"34,877",415,641,10,"23,294","10,942",10,"11,769",216,"146,717","49,508","2,963,525"
51,Switzerland,"33,591",99,"1,969",,"30,300","1,322",22,"3,880",227,"726,806","83,949","8,657,672"
52,Honduras,"32,793","1,048",891,34,"3,661","28,241",51,"3,309",90,"78,825","7,953","9,911,520"
53,Ghana,"27,667",607,148,3,"23,249","4,270",8,890,5,"346,990","11,157","31,099,744"
54,Azerbaijan,"27,521",388,354,5,"18,967","8,200",66,"2,713",35,"627,881","61,900","10,143,504"
55,Kyrgyzstan,"26,532","1,926","1,003",103,"12,328","13,201",24,"4,064",154,"262,894","40,266","6,528,886"
56,Ireland,"25,760",10,"1,753",,"23,364",643,8,"5,214",355,"550,728","111,476","4,940,338"
57,Japan,"24,642",510,985,,"19,576","4,081",43,195,8,"634,997","5,021","126,455,870"
58,Algeria,"23,084",535,"1,078",10,"16,051","5,955",67,526,25,,,"43,884,919"
59,Moldova,"20,980",186,684,4,"14,376","5,920",362,"5,201",170,"128,076","31,753","4,033,468"
60,Serbia,"20,894",396,472,11,"14,047","6,375",187,"2,392",54,"550,091","62,972","8,735,483"
61,Austria,"19,655",82,711,,"17,599","1,345",14,"2,182",79,"748,669","83,103","9,008,915"
62,Nepal,"17,658",156,40,,"11,695","5,923",,606,1,"627,972","21,536","29,159,246"
63,Morocco,"17,236",221,273,4,"14,921","2,042",31,467,7,"1,009,326","27,330","36,930,654"
64,Uzbekistan,"16,607",421,85,2,"9,178","7,344",70,496,3,"1,377,915","41,143","33,490,836"
65,Cameroon,"16,157",,373,,"13,728","2,056",52,608,14,"135,000","5,081","26,571,780"
66,Ivory Coast,"14,119",207,92,1,"8,366","5,661",,535,3,"83,753","3,172","26,403,938"
67,Czechia,"13,945",90,359,1,"8,761","4,825",19,"1,302",34,"624,780","58,336","10,709,991"
68,S. Korea,"13,745",34,295,1,"12,556",894,15,268,6,"1,465,299","28,579","51,271,449"
69,Kenya,"13,353",603,234,9,"5,122","7,997",44,248,4,"243,887","4,532","53,819,531"
70,Denmark,"13,173",,611,,"12,209",353,5,"2,274",105,"1,306,743","225,564","5,793,223"
71,Venezuela,"11,891",408,112,2,"3,972","7,807",17,418,4,"1,426,989","50,190","28,431,664"
72,El Salvador,"11,846",338,335,11,"6,705","4,806",414,"1,826",52,"209,446","32,283","6,487,818"
73,Australia,"11,802",361,122,4,"8,273","3,407",29,463,5,"3,473,457","136,142","25,513,510"
74,Costa Rica,"11,114",563,62,8,"2,966","8,086",44,"2,181",12,"65,819","12,915","5,096,318"
75,Sudan,"10,992",310,693,20,"5,707","4,592",,250,16,401,9,"43,890,246"
76,Ethiopia,"9,503",356,167,4,"2,430","6,906",35,83,1,"250,604","2,178","115,075,460"
77,North Macedonia,"9,153",127,422,8,"4,810","3,921",55,"4,393",203,"85,820","41,193","2,083,370"
78,Norway,"9,028",,255,,"8,138",635,1,"1,665",47,"397,106","73,223","5,423,273"
79,Senegal,"8,810",141,167,4,"5,948","2,695",35,526,10,"96,654","5,767","16,760,892"
80,Malaysia,"8,779",15,123,1,"8,553",103,2,271,4,"889,744","27,474","32,384,845"
81,Bulgaria,"8,733",95,300,1,"4,106","4,327",34,"1,257",43,"206,521","29,734","6,945,554"
82,Palestine,"8,549",345,62,3,"1,921","6,566",,"1,674",12,"155,355","30,425","5,106,168"
83,DRC,"8,403",79,194,1,"4,335","3,874",,94,2,,,"89,660,196"
84,Bosnia and Herzegovina,"8,340",179,249,3,"3,669","4,422",,"2,543",76,"120,388","36,707","3,279,703"
85,Finland,"7,335",17,328,,"6,880",127,1,"1,324",59,"306,192","55,258","5,541,159"
86,Haiti,"7,053",78,146,,"3,877","3,030",,618,13,"15,645","1,371","11,408,889"
87,Madagascar,"7,049",200,59,4,"3,498","3,492",97,254,2,"32,851","1,185","27,718,632"
88,Tajikistan,"6,878",44,57,,"5,578","1,243",,720,6,,,"9,546,321"
89,French Guiana,"6,655",,37,,"4,272","2,346",23,"22,259",124,"13,337","44,608","298,981"
90,Guinea,"6,544",53,39,,"5,511",994,24,498,3,"14,407","1,096","13,146,345"
91,Gabon,"6,315",,46,,"3,865","2,404",11,"2,835",21,"57,095","25,628","2,227,830"
92,Mauritania,"5,873",60,155,2,"3,436","2,282",8,"1,262",33,"13,842","2,974","4,654,361"
93,Luxembourg,"5,605",122,111,,"4,333","1,161",4,"8,948",177,"344,744","550,337","626,423"
94,Djibouti,"5,011",8,56,,"4,838",117,,"5,069",57,"53,687","54,304","988,640"
95,CAR,"4,485",,55,,"1,348","3,082",2,928,11,"28,211","5,837","4,833,388"
96,Croatia,"4,345",92,120,,"3,018","1,207",9,"1,059",29,"103,104","25,124","4,103,884"
97,Hungary,"4,333",18,596,,"3,223",514,3,449,62,"307,846","31,871","9,659,052"
98,Albania,"4,090",82,112,1,"2,311","1,667",17,"1,421",39,"31,383","10,906","2,877,633"
99,Greece,"4,007",24,194,,"1,374","2,439",13,385,19,"410,766","39,420","10,420,303"
100,Paraguay,"3,721",92,31,2,"1,918","1,772",10,521,4,"105,122","14,730","7,136,543"
101,Thailand,"3,249",3,58,,"3,096",95,1,47,0.8,"603,657","8,647","69,808,827"
102,Nicaragua,"3,147",,99,,"2,282",766,,475,15,,,"6,628,172"
103,Somalia,"3,119",8,93,,"1,457","1,569",2,196,6,,,"15,909,906"
104,Equatorial Guinea,"3,071",,51,,842,"2,178",,"2,186",36,"16,000","11,391","1,404,596"
105,Zambia,"2,980",,120,,"1,462","1,398",19,162,7,"69,296","3,765","18,403,298"
106,Maldives,"2,966",36,15,,"2,362",589,12,"5,483",28,"67,264","124,344","540,953"
107,Malawi,"2,907",97,59,4,"1,135","1,713",4,152,3,"23,230","1,213","19,149,092"
108,Lebanon,"2,859",84,40,,"1,515","1,304",12,419,6,"209,912","30,762","6,823,799"
109,Mayotte,"2,782",,37,,"2,591",154,3,"10,188",135,"13,000","47,606","273,076"
110,Sri Lanka,"2,724",20,11,,"2,035",678,1,127,0.5,"135,519","6,327","21,417,712"
111,Congo,"2,633",,49,,626,"1,958",,477,9,,,"5,523,434"
112,Mali,"2,475",3,121,,"1,828",526,,122,6,"19,946",984,"20,272,498"
113,Cuba,"2,446",1,87,,"2,308",51,,216,8,"226,443","19,993","11,326,256"
114,South Sudan,"2,200",9,43,,"1,175",982,,196,4,"12,044","1,075","11,199,761"
115,Montenegro,"2,188",116,32,2,385,"1,771",7,"3,484",51,"29,632","47,179","628,070"
116,Cabo Verde,"2,045",31,21,,973,"1,051",,"3,676",38,"41,634","74,845","556,267"
117,Estonia,"2,021",,69,,"1,912",40,1,"1,523",52,"114,437","86,265","1,326,581"
118,Slovakia,"1,979",3,28,,"1,530",421,2,362,5,"240,205","43,995","5,459,778"
119,Guinea-Bissau,"1,949",,26,,803,"1,120",5,989,13,"1,500",761,"1,969,856"
120,Slovenia,"1,946",6,112,1,"1,568",266,2,936,54,"121,904","58,637","2,078,953"
121,Lithuania,"1,932",17,80,,"1,600",252,6,710,29,"481,553","177,036","2,720,078"
122,Iceland,"1,930",8,10,,"1,907",13,,"5,654",29,"113,204","331,635","341,351"
123,Hong Kong,"1,886",108,12,,"1,294",580,19,251,2,"442,256","58,968","7,499,888"
124,Libya,"1,866",75,48,,418,"1,400",,271,7,"40,135","5,837","6,875,501"
125,Eswatini,"1,793",64,21,,822,950,5,"1,545",18,"17,559","15,128","1,160,725"
126,Sierra Leone,"1,711",10,65,,"1,237",409,,214,8,,,"7,983,732"
127,Zimbabwe,"1,611",133,25,,472,"1,114",,108,2,"101,375","6,816","14,872,566"
128,Yemen,"1,606",25,445,2,712,449,,54,15,120,4,"29,852,717"
129,Benin,"1,602",,31,,782,789,1,132,3,"72,832","6,002","12,135,436"
130,Rwanda,"1,582",43,5,,834,743,,122,0.4,"210,236","16,216","12,964,828"
131,New Zealand,"1,553",3,22,,"1,506",25,,310,4,"442,488","88,460","5,002,100"
132,Mozambique,"1,491",56,10,,472,"1,009",,48,0.3,"46,556","1,488","31,288,328"
133,Tunisia,"1,374",26,50,,"1,097",227,,116,4,"83,823","7,089","11,824,385"
134,Namibia,"1,247",44,3,1,35,"1,209",1,490,1,"17,694","6,958","2,542,872"
135,Jordan,"1,218",4,11,,"1,024",183,3,119,1,"513,932","50,347","10,207,884"
136,Latvia,"1,192",3,31,,"1,022",139,,632,16,"180,928","95,982","1,885,012"
137,Niger,"1,104",,69,,"1,014",21,,46,3,"9,052",373,"24,235,667"
138,Liberia,"1,091",3,70,,534,487,,216,14,,,"5,062,430"
139,Uganda,"1,065",3,,,"1,023",42,,23,,"241,754","5,279","45,792,500"
140,Uruguay,"1,054",10,33,,922,99,3,303,9,"88,616","25,506","3,474,333"
141,Burkina Faso,"1,052",5,53,,901,98,,50,3,,,"20,924,986"
142,Cyprus,"1,038",1,19,,845,174,,859,16,"179,676","148,765","1,207,783"
143,Suriname,"1,029",28,21,1,627,381,5,"1,753",36,"1,244","2,120","586,881"
144,Georgia,"1,028",10,15,,899,114,5,258,4,"164,285","41,187","3,988,764"
145,Chad,889,,75,,801,13,,54,5,,,"16,443,398"
146,Andorra,880,,52,,803,25,,"11,388",673,"3,750","48,530","77,271"
147,Togo,778,4,15,,551,212,2,94,2,"38,046","4,591","8,286,483"
148,Jamaica,774,6,10,,679,85,,261,3,"30,226","10,205","2,961,808"
149,Sao Tome and Principe,746,3,14,,451,281,,"3,401",64,"2,123","9,679","219,332"
150,Diamond Princess,712,,13,,651,48,4,,,,,
151,Angola,705,18,29,,221,455,6,21,0.9,"10,000",304,"32,902,978"
152,San Marino,699,,42,,656,1,,"20,598","1,238","5,729","168,823","33,935"
153,Malta,677,1,9,,662,6,,"1,533",20,"112,403","254,535","441,602"
154,Réunion,628,4,3,,472,153,4,701,3,"35,419","39,547","895,620"
155,Channel Islands,583,,47,,529,7,,"3,352",270,"30,721","176,619","173,939"
156,Botswana,522,,1,,48,473,1,222,0.4,"51,379","21,830","2,353,606"
157,Tanzania,509,,21,,183,305,7,9,0.4,,,"59,797,705"
158,Syria,496,,25,,144,327,,28,1,,,"17,517,467"
159,Taiwan,455,1,7,,440,8,,19,0.3,"79,506","3,338","23,818,968"
160,Vietnam,383,1,,,357,26,1,4,,"275,000","2,824","97,380,051"
161,Lesotho,359,,6,,69,284,,168,3,"7,432","3,468","2,143,062"
162,Mauritius,343,,10,,331,2,,270,8,"205,285","161,403","1,271,875"
163,Myanmar,341,1,6,,276,59,,6,0.1,"102,499","1,883","54,427,485"
164,Isle of Man,336,,24,,312,0,,"3,950",282,"7,473","87,861","85,055"
165,Guyana,336,9,19,,163,154,5,427,24,"3,685","4,684","786,740"
166,Comoros,334,6,7,,313,14,,384,8,,,"870,362"
167,Burundi,310,,1,,207,102,,26,0.08,"6,697",563,"11,903,751"
168,Mongolia,287,,,,213,74,12,87,,"29,603","9,024","3,280,601"
169,Martinique,262,,15,,98,149,5,698,40,"12,227","32,584","375,250"
170,Eritrea,251,,,,155,96,,71,,,,"3,548,626"
171,Cayman Islands,203,,1,,200,2,,"3,087",15,"27,597","419,682","65,757"
172,Guadeloupe,195,,14,,172,9,4,487,35,"13,571","33,917","400,128"
173,Faeroe Islands,191,3,,,188,3,,"3,908",,"28,261","578,266","48,872"
174,Gibraltar,180,,,,180,0,,"5,343",,"17,720","525,972","33,690"
175,Cambodia,171,,,,136,35,1,10,,"51,951","3,105","16,729,361"
176,Bahamas,153,15,11,,91,51,1,389,28,"2,645","6,723","393,421"
177,Bermuda,153,,9,,137,7,1,"2,457",145,"16,279","261,443","62,266"
178,Brunei,141,,3,,138,0,,322,7,"35,469","81,039","437,676"
179,Trinidad and Tobago,137,,8,,124,5,,98,6,"6,067","4,334","1,399,715"
180,Aruba,113,2,3,,100,10,,"1,058",28,"4,977","46,606","106,789"
181,Monaco,109,,4,,98,7,,"2,777",102,"38,209","973,354","39,255"
182,Seychelles,108,,,,27,81,,"1,098",,,,"98,377"
183,Barbados,105,1,7,,91,7,,365,24,"9,495","33,038","287,393"
184,Gambia,93,,4,,49,40,,38,2,"3,681","1,522","2,419,215"
185,Bhutan,87,,,,80,7,,113,,"40,300","52,202","772,002"
186,Liechtenstein,86,,1,,81,4,,"2,255",26,900,"23,601","38,134"
187,Sint Maarten,79,,15,,63,1,,"1,842",350,523,"12,192","42,898"
188,Antigua and Barbuda,76,,3,,57,16,1,776,31,930,"9,493","97,968"
189,Turks and Caicos,75,,2,,22,51,1,"1,936",52,990,"25,554","38,741"
190,French Polynesia,62,,,,60,2,,221,,"4,649","16,545","280,987"
191,Saint Martin,46,,3,,39,4,1,"1,189",78,"1,056","27,290","38,695"
192,Macao,46,,,,46,0,,71,,"4,071","6,266","649,734"
193,Belize,40,,2,,22,16,,101,5,"2,786","7,001","397,936"
194,St. Vincent Grenadines,38,,,,29,9,,342,,"1,302","11,734","110,958"
195,Curaçao,28,,1,,24,3,,171,6,"1,080","6,580","164,126"
196,Fiji,26,,,,18,8,,29,,"4,000","4,461","896,758"
197,Timor-Leste,24,,,,24,0,,18,,"1,568","1,188","1,319,506"
198,Grenada,23,,,,23,0,,204,,"5,465","48,557","112,549"
199,Saint Lucia,23,,,,19,4,,125,,"2,155","11,733","183,669"
200,New Caledonia,22,,,,21,1,,77,,"9,841","34,454","285,627"
201,Laos,19,,,,19,0,,3,,"22,981","3,157","7,280,268"
202,Dominica,18,,,,18,0,,250,,851,"11,820","71,995"
203,Saint Kitts and Nevis,17,,,,15,2,,319,,725,"13,623","53,217"
204,Papua New Guinea,16,,,,8,8,,2,,"7,147",798,"8,954,197"
205,Falkland Islands,13,,,,13,0,,"3,731",,"1,660","476,464","3,484"
206,Greenland,13,,,,13,0,,229,,"5,192","91,449","56,775"
207,Montserrat,12,,1,,10,1,,"2,404",200,61,"12,220","4,992"
208,Vatican City,12,,,,12,0,,"14,981",,,,801
209,Western Sahara,10,,1,,8,1,,17,2,,,"597,917"
210,Caribbean Netherlands,10,,,,7,3,,381,,424,"16,162","26,235"
212,British Virgin Islands,8,,1,,7,0,,265,33,439,"14,517","30,241"
213,St. Barth,6,,,,6,0,,607,,897,"90,799","9,879"
214,Saint Pierre Miquelon,4,,,,1,3,,691,,,,"5,792"
215,,,,,,,,,,,,,
